City,Room,Square,Price
Lviv,3,120,1875000
Lviv,3,66,975000
Lviv,2,66,1375000
Lviv,2,44,637500
Lviv,3,63,835000
Lviv,1,31,562500
Lviv,3,46,1150000
Lviv,3,64,800000
Lviv,1,35,424975
Lviv,6,200,12500
Lviv,2,46,500000
Lviv,1,50,999975
Lviv,1,38,512500
Lviv,2,68,1000000
Lviv,3,98,2575000
Lviv,3,123,3075000
Lviv,3,90,3775000
Lviv,2,62,1050000
Lviv,1,46,811250
Lviv,1,50,975000
Lviv,2,43,549975
Lviv,4,62,775000
Lviv,1,42.99,550000
Lviv,2,50,712500
Lviv,2,44,550000
Lviv,4,61,925000
Lviv,3,67,1000000
Lviv,2,65,975000
Lviv,2,45,672500
Lviv,1,32,435000
Lviv,2,63,1375000
Lviv,1,36,550000
Lviv,1,38,512500
Lviv,2,52,612500
Lviv,1,52,750000
Lviv,2,70,1299975
Lviv,1,45.5,11500
Lviv,1,34,462500
Lviv,3,56,649975
Lviv,1,36.3,625000
Lviv,2,87.5,1175000
Lviv,4,80,1399975
Lviv,1,52,524750
Lviv,1,42,625000
Lviv,1,47.2,565000
Lviv,2,60,1350000
Lviv,1,48,470000
Lviv,2,64,598000
Lviv,3,95,936000
Lviv,2,30,712500
Lviv,1,50.28,492744
Lviv,1,41,562500
Lviv,2,45,637500
Lviv,1,43,850000
Lviv,1,36,450000
Lviv,2,80.55,789390
Lviv,1,48,470000
Lviv,1,40,747500
Lviv,2,83,997500
Lviv,2,44,674975
Lviv,2,53,899975
Lviv,1,38,475000
Lviv,3,100,12500
Lviv,3,64,937500
Lviv,2,48,672500
Lviv,3,60,1125000
Lviv,2,62,577000
Lviv,3,72.6,975000
Lviv,2,63.2,1225000
Lviv,2,82.3,1125000
Lviv,2,50,747500
Lviv,2,78,775000
Lviv,3,100,1950000
Lviv,1,37,625000
Lviv,1,43,650000
Lviv,2,50,1050000
Lviv,1,31,562500
Lviv,1,24,375000
Lviv,3,53,625000
Lviv,2,64,1050000
Lviv,1,33.5,387500
Lviv,3,100,2000000
Lviv,2,50,747500
Lviv,2,48,575000
Lviv,2,55,620000
Lviv,4,64,775000
Lviv,1,30,450000
Lviv,1,58.2,725000
Lviv,1,54.5,682500
Lviv,2,68,750000
Lviv,3,64,987500
Lviv,3,63,936250
Lviv,4,92,1072500
Lviv,1,30,712500
Lviv,2,85.7,1200000
Lviv,2,77.2,675000
Lviv,4,70,1625000
Lviv,3,90,4000000
Lviv,2,45,675000
Lviv,2,70,800000
Lviv,1,42,850000
Lviv,1,50,850000
Lviv,2,75,1150000
Lviv,1,48,825000
Lviv,1,42,675000
Lviv,1,14,262500
Lviv,3,64,1125000
Lviv,3,64,975000
Lviv,1,34,487500
Lviv,1,42,625000
Lviv,2,60,825000
Lviv,2,60,800000
Lviv,1,55,662500
Lviv,1,34,550000
Lviv,1,50,1037500
Lviv,2,60,825000
Lviv,1,43,480000
Lviv,3,64,1025000
Lviv,1,32,437500
Lviv,1,30,410000
Lviv,2,65.3,712500
Lviv,1,46,775000
Lviv,2,46,747500
Lviv,3,60,775000
Lviv,1,35,457500
Lviv,1,34,512500
Lviv,2,54,900000
Lviv,1,60,537500
Lviv,2,42,837500
Lviv,3,102,1575000
Lviv,3,80,1700000
Lviv,1,42,950000
Lviv,1,40,900000
Lviv,2,77,1625000
Lviv,2,70,1225000
Lviv,3,62,850000
Lviv,2,58,1100000
Lviv,2,74,1875000
Lviv,2,64,948750
Lviv,1,42,512500
Lviv,1,45.5,625000
Lviv,3,87,1947500
Lviv,2,44,650000
Lviv,1,42,675000
Lviv,1,32,437500
Lviv,1,41,625000
Lviv,3,64,825000
Lviv,2,50,1125000
Lviv,1,48,800000
Lviv,1,43,850000
Lviv,3,100,2575000
Lviv,1,30,537500
Lviv,2,50.8,825000
Lviv,3,90,1800000
Lviv,1,32,575000
Lviv,1,47,522500
Lviv,2,50,687500
Lviv,2,50,750000
Lviv,1,42,612500
Lviv,1,35,462475
Lviv,3,68,1050000
Lviv,1,36.5,425000
Lviv,3,64,825000
Lviv,3,67,1149975
Lviv,1,42,410000
Lviv,1,42,500000
Lviv,3,85,1000000
Lviv,3,69,650000
Lviv,1,30,475000
Lviv,2,42,575000
Lviv,2,80,750000
Lviv,3,90,1950000
Lviv,1,41,847500
Lviv,1,41,642500
Lviv,1,45,475000
Lviv,2,47.7,475000
Lviv,3,62,600000
Lviv,1,46.27,625000
Lviv,1,40,825000
Lviv,4,62,762500
Lviv,3,115,2000000
Lviv,1,46,575000
Lviv,1,36.5,645000
Lviv,3,100,1950000
Lviv,3,78,1500000
Lviv,3,59,550000
Lviv,2,52,720000
Lviv,3,87,1945000
Lviv,1,30,449975
Lviv,1,35,500000
Lviv,1,40,400000
Lviv,2,47,875000
Lviv,2,56.5,1149975
Lviv,1,46,450000
Lviv,1,50,825000
Lviv,3,60,1450000
Lviv,1,31,500000
Lviv,3,65,700000
Lviv,3,64,875000
Lviv,3,64,875000
Lviv,1,34,562500
Lviv,1,36,437500
Lviv,2,65,975000
Lviv,3,64,1200000
Lviv,1,41,687500
Lviv,3,68,650000
Lviv,4,130,12500
Lviv,4,125,13000
Lviv,2,61.3,1050000
Lviv,2,45,425000
Lviv,2,64,557500
Lviv,2,70,950000
Lviv,1,40,512475
Lviv,1,32,437500
Lviv,2,52,722500
Lviv,2,55,625000
Lviv,1,35,375000
Lviv,2,45,500000
Lviv,2,45,570000
Lviv,2,50,750000
Lviv,1,32,450000
Lviv,2,45,625000
Lviv,1,46,437500
Lviv,2,45,625000
Lviv,1,41,562500
Lviv,3,90,975000
Lviv,1,48,650000
Lviv,3,50,750000
Lviv,3,62,675000
Lviv,1,30,475000
